location_name,date_reported,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper
Alabama,2/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/2/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/5/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/6/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,3/9/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,4/1/2020,335.5479377,62.83161765,784.8923713,73.14763922,14.9359375,167.2450368,39.47408922,8.05625,90.37058824,1.518,0,4,71.64683072,17.34705882,147.2952206,16.9054335,4,35.38180147,5.023,0,16,0,0,0,0,0,0
Alabama,4/2/2020,415.7963187,85.678125,943.1971875,89.82325817,20.240625,198.1945772,48.48495637,10.868125,107.2985294,1.972,0,5,85.54800008,22.5246875,169.7672549,20.1505652,5.468198529,40.1265625,6.995,0,21,0,0,0,0,0,0
Alabama,4/3/2020,509.1761429,119.0565257,1125.71443,109.0726571,27.73166667,233.4,58.8803406,14.87395833,125.9511765,2.57,0,7,100.5964471,33.33970588,190.8283333,23.73067941,7.731666667,45.69678309,9.565,0,28,0,0,0,0,0,0
Alabama,4/4/2020,616.0640471,156.7268382,1304.416176,130.7921681,35.64411765,266.2008824,70.61858856,19.28676471,144.8920588,3.285,1,8,116.7228888,37,215.9617647,27.51719779,8.873713235,50.70588235,12.85,1,36,0,0,0,0,0,0
Alabama,4/5/2020,737.9041489,199.2334314,1505.266667,155.1682058,44.975,302.2747059,83.78606176,23.72034314,162.5433333,4.144,1,10,134.8511666,46.64477124,234.7069853,31.75509714,10.87941176,55.94264706,16.994,2,46,0,0,0,0,0,0
Alabama,4/6/2020,874.9301962,259.6366667,1700.102941,182.2275626,57.05652574,340.3179228,98.43149812,30.86666667,182.5036765,5.169,1,12,153.7078566,59.76277574,254.5578431,36.28144918,14.2553125,59.9390625,22.163,3,58,0,0,0,0,0,0
Alabama,4/7/2020,1027.190494,329.1166667,1914.327941,211.6043898,71.80248162,382.3203125,114.2819741,38.46666667,205.1806985,6.347,1,14,173.3283453,71.4234375,275.2529412,40.82218758,16.12354167,64.65,28.51,4,72,0,0,0,0,0,0
Alabama,4/8/2020,1192.456736,408.9088235,2145.839706,242.9145724,90.06666667,421.1617647,131.2180263,48.18911765,228.0058824,7.721,2,16,191.8712822,88.72823529,289.8312745,45.25115784,20.46470588,69.35661765,36.231,6,88,0,0,0,0,0,0
Alabama,4/9/2020,1371.394995,507.0963725,2384.648529,276.0423576,110.4619485,451.1867647,149.1268319,60.22169118,245.8632353,9.269,2,19,211.8676239,102.74375,312.5573529,49.93713382,24.121875,73.35735294,45.5,8,107,0,0,0,0,0,0
Alabama,5/1/2020,3193.126582,2212.489706,3891.435625,424.7039271,258.2617647,570.7683333,229.4061241,139.2279412,309.1383333,32.547,23,39,181.9090699,95.58382353,270.8005882,42.88019183,22.175,64.46676471,673.051,415.975,921.05,0,0,0,0,0,96.76833333
Alabama,5/2/2020,3069.738836,2051.366176,3849.204688,401.9541665,236.692402,553.2083333,217.1220551,127.2926471,298.8683333,31.226,21,39,169.695214,84.58235294,255.5416667,39.9676875,19.99264706,60.43822917,704.277,436.975,960.05,0,0,0,0,0,79.20833333
Alabama,5/3/2020,2938.578207,1893.85,3788.341667,379.3242245,215.1706699,534.0583333,204.8644323,115.7539216,288.3772917,29.845,19,38.025,158.5363821,76.03676471,245.3163542,37.40995229,17.47058824,58.5684375,734.122,455.975,998.075,0,0,0,0,0,60.05833333
